record_id,timestamp,order_id,product_id,product_category,quantity,unit_price,total_price,supplier_id,supplier_region,warehouse_id,warehouse_region,lead_time_days,transportation_delay_days,fulfillment_status,inventory_level,reorder_point,demand_forecast,demand_forecast_confidence,agent_decision,decision_reason,procurement_cost,transportation_cost,holding_cost,penalty_cost,carbon_emissions_kg,customer_satisfaction_score,anomalies_flag,agent_observation,agent_action_text
R-000011,2025-11-17T15:15:26.767525,f6798203-573a-4a99-b5a1-84384e29eb89,P-2497,food,1.0,9.09,9.09,S-034,North America,W-05,Africa,0.0,0.0,processing,32.0,49.0,17.0,0.75,expedite,urgent demand forecast exceed inventory,9.09,52.31,3.2,0.0,3.28,5.0,False,"Order f6798203-573a-4a99-b5a1-84384e29eb89: product P-2497 (food), qty 1, inventory 32, forecast 17 (conf 0.75)",Action: expedite. Reason: urgent demand forecast exceed inventory.
R-000012,2025-11-17T15:25:26.767525,a836dc87-af2f-40fc-915c-2eb3012a76a6,P-5986,food,3.0,10.84,32.52,S-003,Europe,W-12,Africa,5.0,3.0,processing,272.0,65.0,21.0,0.5,do_nothing,inventory sufficient for forecast,32.52,4.82,27.2,0.0,4.76,4.29,False,"Order a836dc87-af2f-40fc-915c-2eb3012a76a6: product P-5986 (food), qty 3, inventory 272, forecast 21 (conf 0.5)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000013,2025-11-17T15:35:26.767525,22c9c371-9869-4123-817f-538b098095b1,P-2784,automotive,3.0,147.05,441.15,S-018,Asia,W-08,North America,8.0,0.0,processing,247.0,36.0,8.0,0.82,do_nothing,inventory sufficient for forecast,441.15,73.25,24.7,0.0,5.03,3.6,False,"Order 22c9c371-9869-4123-817f-538b098095b1: product P-2784 (automotive), qty 3, inventory 247, forecast 8 (conf 0.82)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000014,2025-11-17T15:45:26.767525,eba9c591-42eb-43cc-9192-9457e1da7e84,P-5903,apparel,1.0,40.5,40.5,S-023,Europe,W-09,Asia,8.0,0.0,processing,239.0,53.0,26.0,0.48,do_nothing,inventory sufficient for forecast,40.5,71.48,23.9,0.0,0.83,3.73,False,"Order eba9c591-42eb-43cc-9192-9457e1da7e84: product P-5903 (apparel), qty 1, inventory 239, forecast 26 (conf 0.48)",ERR_57e95b
R-000015,2025-11-17T15:55:26.767525,0600cb18-13ea-44db-9d03-515b79c3ffaf,P-4335,furniture,11.0,316.55,3482.05,S-050,Asia,W-07,Oceania,8.0,0.0,delivered,252.0,40.0,22.0,0.22,do_nothing,inventory sufficient for forecast,3482.05,40.65,25.2,0.0,30.15,3.61,False,"Order 0600cb18-13ea-44db-9d03-515b79c3ffaf: product P-4335 (furniture), qty 11, inventory 252, forecast 22 (conf 0.22)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000016,ERR_de5d27,cdeed91f-9c24-4b0b-bab2-da4dddaed79f,P-8672,food,1.0,15.37,15.37,S-041,Europe,W-05,North America,2.0,0.0,pending,109.0,77.0,35.0,0.2,do_nothing,inventory sufficient for forecast,15.37,27.6,10.9,0.0,3.09,4.17,False,"Order cdeed91f-9c24-4b0b-bab2-da4dddaed79f: product P-8672 (food), qty 1, inventory 109, forecast 35 (conf 0.2)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000017,2025-11-17T16:15:26.767525,646747e1-66ab-4877-aeed-9955f5fd0c51,P-6265,automotive,1.0,163.52,163.52,S-008,Oceania,W-19,Asia,8.0,2.0,pending,209.0,7158.91319243452,25.0,0.76,do_nothing,inventory sufficient for forecast,163.52,112.09,20.9,,5.12,3.46,False,"Order 646747e1-66ab-4877-aeed-9955f5fd0c51: product P-6265 (automotive), qty 1, inventory 209, forecast 25 (conf 0.76)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000018,2025-11-17T16:25:26.767525,6ab7a6cd-4f12-435c-bac3-9795a5de485c,P-2164,furniture,2.0,443.49,886.98,S-039,North America,W-11,Oceania,10.0,4.0,shipped,138.0,31.0,18.0,0.19,do_nothing,inventory sufficient for forecast,886.98,88.81,13.8,0.0,6.73,251.20894888023687,False,"Order 6ab7a6cd-4f12-435c-bac3-9795a5de485c: product P-2164 (furniture), qty 2, inventory 138, forecast 18 (conf 0.19)",Action: do_nothing. Reason: inventory sufficient for forecast.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR_d50d2f,,216024f8-f8c9-4d3f-83cf-dd695949e8a4,P-3114,furniture,1.0,242.05,242.05,S-008,North America,W-14,South America,4.0,0.0,processing,182.0,58.0,18.0,0.6,do_nothing,inventory sufficient for forecast,242.05,33.25,18.2,0.0,1.6,3.95,False,"Order 216024f8-f8c9-4d3f-83cf-dd695949e8a4: product P-3114 (furniture), qty 1, inventory 182, forecast 18 (conf 0.6)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000021,2025-11-17T16:55:26.767525,4b874fe8-4ebe-4a3d-af5c-fd48e714d8dc,P-5698,pharma,3.0,38.55,115.65,S-016,Oceania,W-07,Oceania,3.0,2.0,delivered,255.0,53.0,15.0,0.96,do_nothing,inventory sufficient for forecast,115.65,51.55,25.5,0.0,1.77,4.99,False,"Order 4b874fe8-4ebe-4a3d-af5c-fd48e714d8dc: product P-5698 (pharma), qty 3, inventory 255, forecast 15 (conf 0.96)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000022,2025-11-17T17:05:26.767525,2ebb5c71-af26-4548-b5b4-8682a923f40e,P-6290,food,1.0,12.14,12.14,S-050,Oceania,W-16,Africa,3.0,1.0,shipped,284.0,65.0,6.0,0.11,do_nothing,inventory sufficient for forecast,12.14,53.64,28.4,0.0,3.44,4.75,False,"Order 2ebb5c71-af26-4548-b5b4-8682a923f40e: product P-6290 (food), qty 1, inventory 284, forecast 6 (conf 0.11)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000023,2025-11-17T17:15:26.767525,b7d80311-2aac-495a-9630-53a19128e795,P-8442,apparel,4.0,39.54,158.16,S-026,North America,W-14,Africa,6.0,2.0,delivered,219.0,30.0,14.0,0.44,do_nothing,inventory sufficient for forecast,158.16,52.31,21.9,0.0,14.59,3.38,False,"Order b7d80311-2aac-495a-9630-53a19128e795: product P-8442 (apparel), qty 4, inventory 219, forecast 14 (conf 0.44)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000024,2025-11-17T17:25:26.767525,3e91cf42-712e-4414-9b10-efcc33c7cd11,P-9979,food,1.0,10.1,10.1,S-001,North America,W-15,Oceania,6.0,1.0,delivered,218.0,45.0,28.0,0.47,do_nothing,inventory sufficient for forecast,10.1,81.47,21.8,0.0,4.54,4.3,False,"Order 3e91cf42-712e-4414-9b10-efcc33c7cd11: product P-9979 (food), qty 1, inventory 218, forecast 28 (conf 0.47)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000025,2025-11-17T17:35:26.767525,1ee610e5-b3a5-4f82-b56f-a6de15b3ad19,P-3220,automotive,1.0,94.19,94.19,S-027,Africa,W-15,North America,10.0,0.0,processing,259.0,36.0,8.0,0.24,do_nothing,inventory sufficient for forecast,94.19,38.65,25.9,0.0,2.81,4.23,False,"Order 1ee610e5-b3a5-4f82-b56f-a6de15b3ad19: product P-3220 (automotive), qty 1, inventory 259, forecast 8 (conf 0.24)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000026,2025-11-17T17:45:26.767525,d0014402-8415-466b-84bf-d6f691cfe043,P-8728,furniture,8.0,346.93,2775.44,S-043,North America,W-13,Oceania,8.0,4.0,shipped,140.0,39.0,22.0,0.55,do_nothing,inventory sufficient for forecast,2775.44,118.94,14.0,0.0,9.7,4.19,False,"Order d0014402-8415-466b-84bf-d6f691cfe043: product P-8728 (furniture), qty 8, inventory 140, forecast 22 (conf 0.55)",Action: do_nothing. Reason: inventory sufficient for forecast.
ERR_cc3c05,2025-11-17T17:55:26.767525,fd063863-a89f-49ea-91bd-389b86faad6c,P-9378,apparel,2.0,32.91,65.82,S-019,Africa,W-09,Africa,11.0,2.0,processing,193.0,33.0,8.0,0.93,do_nothing,inventory sufficient for forecast,65.82,89.73,19.3,0.0,2.97,3.85,False,"Order fd063863-a89f-49ea-91bd-389b86faad6c: product P-9378 (apparel), qty 2, inventory 193, forecast 8 (conf 0.93)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000028,2025-11-17T18:05:26.767525,9fc89e8d-6b3c-4738-ab05-7134cbb9838f,P-6556,automotive,2.0,182.81,365.62,S-023,North America,W-16,Asia,9.0,5.0,processing,211.0,17.0,40.0,0.42,do_nothing,inventory sufficient for forecast,365.62,121.01,21.1,0.0,10.97,5.0,False,"Order 9fc89e8d-6b3c-4738-ab05-7134cbb9838f: product P-6556 (automotive), qty 2, inventory 211, forecast 40 (conf 0.42)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000029,2025-11-17T18:15:26.767525,bf37f7b2-1cb5-4723-a462-77aca831eda7,P-2969,electronics,1.0,191.64,191.64,S-036,Europe,W-04,Africa,8.0,3.0,ERR_9d385e,368.0,45.0,21.0,0.35,do_nothing,inventory sufficient for forecast,191.64,116.97,36.8,0.0,1.72,3.35,False,"Order bf37f7b2-1cb5-4723-a462-77aca831eda7: product P-2969 (electronics), qty 1, inventory 368, forecast 21 (conf 0.35)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000030,2025-11-17T18:25:26.767525,,P-8135,furniture,1.0,382.74,382.74,S-022,Europe,W-20,Oceania,5.0,4.0,cancelled,275.0,46.0,21.0,0.85,do_nothing,inventory sufficient for forecast,382.74,119.2,27.5,76.55,4.63,3.6,False,"Order 0dfaedb5-c536-42a4-a294-20ef7bda332a: product P-8135 (furniture), qty 1, inventory 275, forecast 21 (conf 0.85)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000031,2025-11-17T18:35:26.767525,f1783666-48d9-4ff0-b52b-1fec6fe00e9e,P-9874,furniture,1.0,246.52,246.52,S-009,Africa,W-19,South America,2.0,3.0,shipped,313.0,48.0,0.0,0.62,do_nothing,inventory sufficient for forecast,,87.76,31.3,0.0,2.31,3.9,False,"Order f1783666-48d9-4ff0-b52b-1fec6fe00e9e: product P-9874 (furniture), qty 1, inventory 313, forecast 0 (conf 0.62)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000032,2025-11-17T18:45:26.767525,0b5db511-67e6-44d8-b8b4-2374d57edfa2,P-5228,automotive,1.0,174.15,174.15,S-005,Europe,W-18,Europe,9.0,3.0,delivered,20.0,53.0,6.0,0.86,reorder,inventory below reorder point,174.15,93.72,2.0,0.0,4.43,4.05,False,"Order 0b5db511-67e6-44d8-b8b4-2374d57edfa2: product P-5228 (automotive), qty 1, inventory 20, forecast 6 (conf 0.86)",Action: reorder. Reason: inventory below reorder point.
R-000033,2025-11-17T18:55:26.767525,3ccad536-f5b1-4c7e-bb96-ac9fe3cf1ded,P-4800,electronics,1.0,144.3,144.3,S-043,North America,W-02,South America,9.0,0.0,pending,180.0,31.0,23.0,0.84,do_nothing,inventory sufficient for forecast,144.3,52.12,18.0,0.0,3.72,3.39,False,,Action: do_nothing. Reason: inventory sufficient for forecast.
R-000034,2025-11-17T19:05:26.767525,e92eb90d-3da6-49f3-b3f9-814ec66190fe,P-2386,apparel,4.0,40.92,163.68,S-017,Europe,W-14,Europe,15.0,0.0,pending,224.0,52.0,6.0,0.18,do_nothing,inventory sufficient for forecast,163.68,722.7482953792172,22.4,0.0,17.49,3.62,False,"Order e92eb90d-3da6-49f3-b3f9-814ec66190fe: product P-2386 (apparel), qty 4, inventory 224, forecast 6 (conf 0.18)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000035,2025-11-17T19:15:26.767525,da4e6785-869c-4e3d-8d50-9cdb89dd908b,P-9635,pharma,7.0,31.69,221.83,S-014,South America,W-20,Asia,10.0,3.0,delivered,302.0,34.0,8.0,0.78,do_nothing,inventory sufficient for forecast,221.83,127.18,30.2,0.0,10.79,4.6,False,"Order da4e6785-869c-4e3d-8d50-9cdb89dd908b: product P-9635 (pharma), qty 7, inventory 302, forecast 8 (conf 0.78)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000036,2025-11-17T19:25:26.767525,89b7098b-9719-4956-b70a-77dfcb44ffa5,P-8259,food,1.0,12.96,384.3154555615702,S-012,Oceania,W-16,Oceania,5.0,,processing,191.0,55.0,33.0,0.22,do_nothing,inventory sufficient for forecast,12.96,62.12,19.1,0.0,3.9,4.43,False,"Order 89b7098b-9719-4956-b70a-77dfcb44ffa5: product P-8259 (food), qty 1, inventory 191, forecast 33 (conf 0.22)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000037,2025-11-17T19:35:26.767525,4c9f914d-b134-4e16-916c-ce3943520521,P-6519,electronics,2.0,189.13,378.26,S-027,South America,W-05,South America,3.0,3.0,delivered,197.0,54.0,30.0,0.95,do_nothing,inventory sufficient for forecast,378.26,91.97,19.7,0.0,3.29,5.0,False,"Order 4c9f914d-b134-4e16-916c-ce3943520521: product P-6519 (electronics), qty 2, inventory 197, forecast 30 (conf 0.95)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000038,2025-11-17T19:45:26.767525,90a3939b-1d1f-41f2-b6e3-8ccd63ace2ab,P-3820,automotive,4.0,150.09,600.36,S-003,North America,W-04,Oceania,5.0,0.0,shipped,206.0,61.0,19.0,0.61,do_nothing,inventory sufficient for forecast,600.36,57.82,20.6,0.0,19.4,4.83,False,"Order 90a3939b-1d1f-41f2-b6e3-8ccd63ace2ab: product P-3820 (automotive), qty 4, inventory 206, forecast 19 (conf 0.61)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000039,2025-11-17T19:55:26.767525,8a84aae5-cdf4-43ea-9002-50ef4c96f699,P-9679,apparel,10.0,44.84,448.4,S-011,Europe,W-04,Asia,9.0,3.0,delivered,145.0,43.0,16.0,0.55,do_nothing,inventory sufficient for forecast,448.4,78.16,14.5,0.0,48.46,4.52,False,"Order 8a84aae5-cdf4-43ea-9002-50ef4c96f699: product P-9679 (apparel), qty 10, inventory 145, forecast 16 (conf 0.55)",ERR_55d292
R-000040,2025-11-17T20:05:26.767525,,P-6517,electronics,1.0,188.77,188.77,S-025,Africa,W-18,Asia,8.0,2.0,pending,282.0,44.0,18.0,0.1,do_nothing,inventory sufficient for forecast,188.77,80.28,28.2,0.0,1.63,3.8,False,"Order 139fc39f-cdd6-4e7a-8fe0-8e6af75c20a2: product P-6517 (electronics), qty 1, inventory 282, forecast 18 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000041,2025-11-17T20:15:26.767525,b636ba1c-a27f-4540-aba2-422e4cae326f,P-5107,electronics,1.0,198.49,198.49,S-040,Oceania,W-08,South America,4.0,1.0,shipped,144.0,57.0,20.0,0.97,do_nothing,inventory sufficient for forecast,198.49,19.19,14.4,0.0,4.27,4.08,False,"Order b636ba1c-a27f-4540-aba2-422e4cae326f: product P-5107 (electronics), qty 1, inventory 144, forecast 20 (conf 0.97)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000042,2025-11-17T20:25:26.767525,29a8ad77-751e-4f17-852d-f24403b53a39,P-5562,electronics,1.0,194.99,194.99,S-011,North America,W-16,North America,8.0,1.0,delivered,310.0,55.0,9.0,0.9,do_nothing,inventory sufficient for forecast,194.99,73.42,31.0,0.0,4.11,3.18,False,"Order 29a8ad77-751e-4f17-852d-f24403b53a39: product P-5562 (electronics), qty 1, inventory 310, forecast 9 (conf 0.9)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000043,2025-11-17T20:35:26.767525,b722deb4-7593-46ff-bba5-155c795cd841,P-7514,automotive,3.0,150.82,452.46,S-037,Oceania,W-09,South America,7.0,0.0,delivered,102.0,48.0,16.0,0.37,do_nothing,inventory sufficient for forecast,452.46,13.72,10.2,0.0,11.98,4.81,True,"Order b722deb4-7593-46ff-bba5-155c795cd841: product P-7514 (automotive), qty 3, inventory 102, forecast 16 (conf 0.37)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000044,2025-11-17T20:45:26.767525,548bc3b0-ce00-4552-999f-e45712ca5882,P-9346,food,1.0,13.85,13.85,S-050,South America,W-19,South America,5.0,3.0,processing,165.0,51.0,24.0,0.92,do_nothing,inventory sufficient for forecast,13.85,79.22,16.5,0.0,2.95,3.02,False,"Order 548bc3b0-ce00-4552-999f-e45712ca5882: product P-9346 (food), qty 1, inventory 165, forecast 24 (conf 0.92)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000045,2025-11-17T20:55:26.767525,f310f39d-f187-4e2d-8a5f-56ec333aecfb,P-6843,electronics,1.0,245.28,245.28,S-019,Oceania,W-01,Oceania,8.0,2.0,delivered,93.0,55.0,2.0,0.5,do_nothing,inventory sufficient for forecast,245.28,109.12,9.3,0.0,4.43,3.99,False,"Order f310f39d-f187-4e2d-8a5f-56ec333aecfb: product P-6843 (electronics), qty 1, inventory 93, forecast 2 (conf 0.5)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000046,2025-11-17T21:05:26.767525,4f47e053-45ca-4c94-bd82-b8055fc000cc,P-4086,automotive,1.0,156.59,156.59,S-035,Europe,W-14,Africa,7.0,0.0,delivered,107.0,34.0,15.0,0.99,do_nothing,inventory sufficient for forecast,156.59,32.7,10.7,0.0,3.06,4.2,False,"Order 4f47e053-45ca-4c94-bd82-b8055fc000cc: product P-4086 (automotive), qty 1, inventory 107, forecast 15 (conf 0.99)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000047,2025-11-17T21:15:26.767525,4f93f296-5748-4077-a8d9-f8caeaf2b4ee,P-1986,automotive,2.0,184.42,368.84,S-011,Africa,W-11,South America,3.0,4.0,shipped,131.0,77.0,18.0,0.54,do_nothing,inventory sufficient for forecast,368.84,72.5,13.1,0.0,8.71,130.49318517907673,False,"Order 4f93f296-5748-4077-a8d9-f8caeaf2b4ee: product P-1986 (automotive), qty 2, inventory 131, forecast 18 (conf 0.54)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000048,2025-11-17T21:25:26.767525,e6f697ba-20b3-4a84-847e-f72b90b00f24,P-7568,pharma,4.0,29.01,116.04,S-031,Asia,W-18,Asia,7.0,4.0,delivered,123.0,36.0,5.0,0.32,do_nothing,inventory sufficient for forecast,116.04,135.47,12.3,0.0,15.02,4.04,False,,Action: do_nothing. Reason: inventory sufficient for forecast.
R-000049,2025-11-17T21:35:26.767525,917a4025-faf6-4b4b-9efa-67bde2b3151d,P-2851,food,1.0,11.99,11.99,S-014,Europe,W-17,Asia,11.0,4.0,processing,213.0,40.0,34.0,0.91,do_nothing,inventory sufficient for forecast,11.99,132.62,21.3,0.0,2.33,3.58,False,"Order 917a4025-faf6-4b4b-9efa-67bde2b3151d: product P-2851 (food), qty 1, inventory 213, forecast 34 (conf 0.91)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000050,2025-11-17T21:45:26.767525,ed98e3e3-7654-4abc-81f8-6695ba12b0b0,P-1885,food,1.0,9.48,9.48,S-039,North America,W-03,Asia,4.0,0.0,shipped,439.0,25.0,17.0,0.3,do_nothing,inventory sufficient for forecast,9.48,95.95,43.9,0.0,2.69,4.9,False,"Order ed98e3e3-7654-4abc-81f8-6695ba12b0b0: product P-1885 (food), qty 1, inventory 439, forecast 17 (conf 0.3)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000051,2025-11-17T21:55:26.767525,e843711b-f381-40c8-8f98-dbdc35ff93ce,P-8823,pharma,1.0,32.69,32.69,S-034,Asia,W-16,South America,7.0,0.0,processing,144.0,38.0,15.0,0.28,do_nothing,inventory sufficient for forecast,32.69,53.22,14.4,0.0,2.1,3.68,False,"Order e843711b-f381-40c8-8f98-dbdc35ff93ce: product P-8823 (pharma), qty 1, inventory 144, forecast 15 (conf 0.28)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000052,2025-11-17T22:05:26.767525,aa39daec-e5fb-47e4-a428-72f680d781e8,P-1513,electronics,3.0,172.28,516.84,S-002,North America,W-03,North America,10.0,3.0,processing,150.0,98.0,19.0,0.1,do_nothing,inventory sufficient for forecast,516.84,62.33,15.0,0.0,12.31,4.45,False,"Order aa39daec-e5fb-47e4-a428-72f680d781e8: product P-1513 (electronics), qty 3, inventory 150, forecast 19 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000053,2025-11-17T22:15:26.767525,00c3bcc8-8804-4b43-a880-2b29b2c4cb47,P-4027,pharma,1.0,32.0,32.0,S-041,Oceania,W-13,Europe,6.0,3.0,shipped,102.0,69.0,0.0,0.62,do_nothing,inventory sufficient for forecast,32.0,56.41,10.2,0.0,2.19,4.15,False,"Order 00c3bcc8-8804-4b43-a880-2b29b2c4cb47: product P-4027 (pharma), qty 1, inventory 102, forecast 0 (conf 0.62)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000054,2025-11-17T22:25:26.767525,8073f844-ecfb-4e4e-8f0d-fbdf59a82bc3,P-5651,automotive,1.0,126.66,126.66,S-050,South America,W-03,Asia,6.0,3.0,processing,280.0,38.0,18.0,0.1,do_nothing,inventory sufficient for forecast,126.66,32.74,28.0,0.0,4.14,4.1,False,"Order 8073f844-ecfb-4e4e-8f0d-fbdf59a82bc3: product P-5651 (automotive), qty 1, inventory 280, forecast 18 (conf 0.1)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000055,2025-11-17T22:35:26.767525,f5937bbd-1bdf-4bc9-832c-f0ec1a51c240,P-9562,pharma,1.0,38.6,38.6,S-003,South America,W-17,South America,7.0,0.0,delivered,268.0,43.0,26.0,0.85,do_nothing,inventory sufficient for forecast,2448.839873560385,51.92,26.8,0.0,2.83,3.93,False,"Order f5937bbd-1bdf-4bc9-832c-f0ec1a51c240: product P-9562 (pharma), qty 1, inventory 268, forecast 26 (conf 0.85)",Action: do_nothing. Reason: inventory sufficient for forecast.
R-000056,2025-11-17T22:45:26.767525,433f5e22-b35f-4b1f-9827-46c5185f08e4,P-7507,furniture,1.0,326.72,27585.99032592883,S-001,Africa,W-12,Asia,5.0,3.0,processing,83.0,59.0,5.0,0.75,do_nothing,inventory sufficient for forecast,326.72,31.12,8.3,0.0,5.27,4.75,False,"Order 433f5e22-b35f-4b1f-9827-46c5185f08e4: product P-7507 (furniture), qty 1, inventory 83, forecast 5 (conf 0.75)",Action: do_nothing. Reason: inventory sufficient for forecast.
